"Country","Alcohol.Consumption.All.Types","Beer","Other","Spirits","Wine"
"Afghanistan",0.02,0.01,0,0.02,0
"Albania",4.77,1.57,0.08,1.94,1.17
"Algeria",0.56,0.31,0,0.1,0.14
"Andorra",9.97,3.33,0,2.32,4.32
"Angola",5.65,3.66,0.05,0.7,1.24
"Antigua and Barbuda",8.45,2.79,0.27,3.84,1.55
"Argentina",8.42,3.36,0.87,0.81,3.38
"Armenia",3.84,0.46,0,3.16,0.2
"Australia",9.52,3.76,0.88,1.22,3.66
"Austria",11.4,6.1,,1.7,3.6
"Azerbaijan",0.84,0.3,0,0.4,0.13
"Bahamas",8.65,3.39,0.26,3.56,1.44
"Bahrain",2.16,0.39,0.64,1,0.13
"Bangladesh",0.01,0,0,0,0
"Barbados",9.15,3.44,0.17,4.58,0.96
"Belarus",10.09,2.29,2.97,4.62,0.21
"Belgium",10.36,4.6,0.32,1.47,3.97
"Belize",6.2,4.29,0.14,1.65,0.12
"Benin",1.55,0.99,0.21,0.2,0.15
"Bolivia (Plurinational State of)",3.61,2.65,0.06,0.76,0.15
"Bosnia and Herzegovina",4.33,3.28,0.14,0.54,0.37
"Botswana",6.22,2.99,1.49,0.27,1.46
"Brazil",6.97,4.45,0.03,2.24,0.25
"Brunei Darussalam",0.64,0.64,0,0,0
"Bulgaria",11.3,4.22,0.13,4.99,1.96
"Burkina Faso",4.87,0.88,3.62,0.24,0.13
"Côte d'Ivoire",4.79,1.05,3.49,0.01,0.24
"Cabo Verde",4.12,2.27,0,0,1.85
"Cambodia",3.32,2.92,0,0.39,0
"Cameroon",6.5,2.83,3.57,0.01,0.09
"Canada",8,3.7,0.3,2,2
"Central African Republic",1.68,0.43,1.23,0,0.01
"Chad",0.69,0.48,0.16,0.04,0.01
"Chile",7.89,2.85,0,2.43,2.61
"China",5.74,1.76,0,3.81,0.17
"Colombia",4.43,3.13,0.02,1.23,0.05
"Congo",4.86,4.1,0.03,0.5,0.23
"Costa Rica",3.63,2.31,0.03,1.02,0.27
"Croatia",9.89,4.5,0.36,1.34,3.68
"Cuba",4.6,1.78,0.02,2.57,0.23
"Cyprus",9.55,2.84,0,4,2.71
"Czech Republic",12.82,6.9,0,3.25,2.67
"South Korea",3.35,0.09,0,3.26,0
"Democratic Republic of the Congo",1.39,0.54,0.83,0.01,0.01
"Denmark",9.38,3.49,0,1.68,4.21
"Djibouti",0.37,0.1,0,0.2,0.06
"Dominican Republic",6.14,3.49,0.07,2.34,0.24
"Ecuador",3.67,3,0.02,0.6,0.05
"Egypt",0.18,0.11,0,0.06,0.01
"El Salvador",2.57,1.17,0,1.35,0.04
"Equatorial Guinea",9.85,8.17,0,0,1.68
"Estonia",16.64,5.44,1.6,8.37,1.23
"Ethiopia",1.43,0.78,0.53,0.12,0
"Fiji",2.21,1.54,0,0.64,0.03
"Finland",8.51,4.13,0.79,1.84,1.75
"France",11.87,2.16,0.2,2.42,7.09
"Gabon",9.54,7.28,0.1,1.27,0.88
"Gambia",2.96,0.25,2.65,0,0.06
"Georgia",7.44,1.37,0.01,2.97,3.1
"Germany",11.99,5.66,0,2.49,3.84
"Ghana",1.56,0.44,0.89,0.13,0.1
"Greece",6.64,2.04,0.08,1.44,3.08
"Grenada",8.67,3.57,0.33,4.16,0.62
"Guatemala",1.62,0.9,0,0.67,0.04
"Guinea",0.34,0.31,0,0,0.03
"Guinea-Bissau",2.81,0.39,1.16,0.39,0.88
"Guyana",4.75,1.86,0.03,2.85,0.02
"Haiti",5.81,0.13,0.01,5.65,0.02
"Honduras",2.84,1.33,0,1.47,0.03
"Hungary",10.9,3.93,,3.57,3.41
"Iceland",7.66,4.26,,1.25,2.15
"India",3,0.21,0,2.79,0
"Indonesia",0.28,0.05,0,0.01,0.22
"Iran (Islamic Republic of)",0.01,0,0,0.01,0
"Iraq",0.17,0.12,0,0.04,0
"Ireland",10.93,5.14,0.77,1.97,3.06
"Israel",2.61,1.41,0.04,1.05,0.11
"Italy",7.14,1.78,0,0.74,4.61
"Jamaica",3.33,1.16,0.19,1.82,0.17
"Japan",6.86,1.25,2.49,2.74,0.38
"Jordan",0.37,0.07,0.01,0.29,0.01
"Kazakhstan",5.92,1.78,0,3.76,0.38
"Kenya",1.86,0.74,0.69,0.4,0.03
"Kiribati",0.36,0.36,0,0,0
"Kuwait",0.01,0,0,0.01,0
"Kyrgyzstan",4.7,0.59,0,4.02,0.09
"Lao People's Democratic Republic",6.81,3.41,0,3.39,0
"Latvia",10.82,4.8,0.65,4.13,1.24
"Lebanon",1.18,0.38,0.02,0.59,0.19
"Lesotho",2.88,1.65,0.83,0.3,0.09
"Liberia",3.51,0.33,0.02,3.1,0.06
"Lithuania",14.42,6.28,1.76,5.35,1.03
"Luxembourg",11.83,3.91,0,2.46,5.47
