"Country","PISA.Performance.Mean.Mathematics","PISA.Performance.Mean.Reading","PISA.Performance.Mean.Science","PISA.Performance.Mean"
"Albania",413.157,405.2588,427.225,415.2136
"Algeria",359.6062,349.8593,375.7451,361.736866666667
"Argentina",409.0333,425.3031,432.2262,422.187533333333
"Australia",493.8962,502.9006,509.9939,502.263566666667
"Austria",496.7423,484.8656,495.0375,492.215133333333
"Belgium",506.9844,498.5242,501.9997,502.502766666667
"Brazil",377.0695,407.3486,400.6821,395.0334
"Bulgaria",441.1899,431.7175,445.772,439.5598
"Canada",515.6474,526.6678,527.7047,523.339966666667
"Chile",422.6714,458.5709,446.9561,442.7328
"Colombia",389.6438,424.9052,415.7288,410.0926
"Costa Rica",400.2534,427.4875,419.608,415.782966666667
"Croatia",464.0401,486.8632,475.3912,475.4315
"Cyprus",437.1443,442.8443,432.5964,437.528333333333
"Czech Republic",492.3254,487.2501,492.83,490.801833333333
"Denmark",511.0876,499.8146,501.9369,504.2797
"Dominican Republic",327.702,357.7377,331.6388,339.026166666667
"Estonia",519.5291,519.1429,534.1937,524.288566666667
"Finland",511.0769,526.4247,530.6612,522.720933333333
"France",492.9204,499.3061,494.9776,495.7347
"Georgia",403.8332,401.2881,411.1315,405.4176
"Germany",505.9713,509.1041,509.1406,508.072
"Greece",453.6299,467.0395,454.8288,458.4994
"Hong Kong SAR, China",547.931,526.6753,523.2774,532.6279
"Hungary",476.8309,469.5233,476.7475,474.367233333333
"Iceland",488.0332,481.5255,473.2301,480.9296
"Indonesia",386.1096,397.2595,403.0997,395.4896
"Ireland",503.722,520.8148,502.5751,509.0373
"Israel",469.6695,478.9606,466.5528,471.727633333333
"Italy",489.7287,484.758,480.5468,485.011166666667
"Japan",532.4399,515.9585,538.3948,528.931066666667
"Jordan",380.259,408.1022,408.6691,399.0101
"Kazakhstan",459.816,427.141,456.4836,447.813533333333
"South Korea",524.1062,517.4367,515.8099,519.1176
"Latvia",482.3051,487.7581,490.225,486.762733333333
"Lebanon",396.2497,346.549,386.4854,376.428033333333
"Lithuania",478.3834,472.4066,475.4089,475.399633333333
"Luxembourg",485.7706,481.4391,482.8064,483.3387
"Macao SAR, China",543.8078,508.6905,528.5496,527.015966666667
"Macedonia",371.3114,351.7415,383.6824,368.911766666667
"Malaysia",446.1098,430.5782,442.9475,439.8785
"Malta",478.6448,446.6661,464.7819,463.364266666667
"Mexico",408.0235,423.2765,415.7099,415.669966666667
"Moldova",419.6635,416.2293,427.9978,421.296866666667
"Montenegro",417.9341,426.8845,411.3136,418.710733333333
"Netherlands",512.2528,502.9591,508.5748,507.9289
"New Zealand",495.2233,509.2707,513.3035,505.9325
"Norway",501.7298,513.1912,498.4811,504.467366666667
"Peru",386.5606,397.5414,396.6836,393.5952
"Poland",504.4693,505.6971,501.4353,503.867233333333
"Portugal",491.627,498.1289,501.1001,496.952
"Qatar",402.4007,401.8874,417.6112,407.299766666667
"Russian Federation",494.06,494.6278,486.631,491.772933333333
"Singapore",564.1897,535.1002,555.5747,551.621533333333
"Slovakia",475.2301,452.5143,460.7749,462.839766666667
"Slovenia",509.9196,505.2159,512.8636,509.333033333333
"Spain",485.8432,495.5764,492.7861,491.4019
"Sweden",493.9181,500.1556,493.4224,495.832033333333
"Switzerland",521.2506,492.1982,505.5058,506.3182
"Thailand",415.4638,409.1301,421.3373,415.3104
"Trinidad and Tobago",417.2434,427.2733,424.5905,423.035733333333
"Tunisia",366.818,361.0555,386.4034,371.425633333333
"Turkey",420.454,428.3351,425.4895,424.759533333333
"United Arab Emirates",427.4827,433.5423,436.7311,432.585366666667
"United Kingdom",492.4785,497.9719,509.2215,499.890633333333
"United States",469.6285,496.9351,496.2424,487.602
"Uruguay",417.9919,436.5721,435.363,429.975666666667
"Vietnam",494.5183,486.7738,524.6445,501.978866666667
