"Country","Region","Happiness.Score","Happiness.Score.Standard.Error","Economy.GDP.per.Capita","Family","Health.Life.Expectancy","Freedom","Trust.Government.Corruption","Generosity","Dystopia.Residual","PISA.Performance.Mean.Mathematics","PISA.Performance.Mean.Reading","PISA.Performance.Mean.Science","Alcohol.Consumption.All.Types","Beer","Wine","Spirits","Other"
"Albania","Central and Eastern Europe",4.959,0.05013,0.87867,0.80434,0.81325,0.35733,0.06413,0.14272,1.89894,413.157,405.2588,427.225,4.77,1.57,1.17,1.94,0.08
"Algeria","Middle East and Northern Africa",5.605,0.05099,0.93929,1.07772,0.61766,0.28579,0.17383,0.07822,2.43209,359.6062,349.8593,375.7451,0.56,0.31,0.14,0.1,0
"Argentina","Latin America and Caribbean",6.574,0.04612,1.05351,1.24823,0.78723,0.44974,0.08484,0.11451,2.836,409.0333,425.3031,432.2262,8.42,3.36,3.38,0.81,0.87
"Australia","Australia and New Zealand",7.284,0.04083,1.33358,1.30923,0.93156,0.65124,0.35637,0.43562,2.26646,493.8962,502.9006,509.9939,9.52,3.76,3.66,1.22,0.88
"Austria","Western Europe",7.2,0.03751,1.33723,1.29704,0.89042,0.62433,0.18676,0.33088,2.5332,496.7423,484.8656,495.0375,11.4,6.1,3.6,1.7,
"Belgium","Western Europe",6.937,0.03595,1.30782,1.28566,0.89667,0.5845,0.2254,0.2225,2.41484,506.9844,498.5242,501.9997,10.36,4.6,3.97,1.47,0.32
"Brazil","Latin America and Caribbean",6.983,0.04076,0.98124,1.23287,0.69702,0.49049,0.17521,0.14574,3.26001,377.0695,407.3486,400.6821,6.97,4.45,0.25,2.24,0.03
"Bulgaria","Central and Eastern Europe",4.218,0.04828,1.01216,1.10614,0.76649,0.30587,0.00872,0.11921,0.89991,441.1899,431.7175,445.772,11.3,4.22,1.96,4.99,0.13
"Canada","North America",7.427,0.03553,1.32629,1.32261,0.90563,0.63297,0.32957,0.45811,2.45176,515.6474,526.6678,527.7047,8,3.7,2,2,0.3
"Chile","Latin America and Caribbean",6.67,0.058,1.10715,1.12447,0.85857,0.44132,0.12869,0.33363,2.67585,422.6714,458.5709,446.9561,7.89,2.85,2.61,2.43,0
"Colombia","Latin America and Caribbean",6.477,0.05051,0.91861,1.24018,0.69077,0.53466,0.0512,0.18401,2.85737,389.6438,424.9052,415.7288,4.43,3.13,0.05,1.23,0.02
"Costa Rica","Latin America and Caribbean",7.226,0.04454,0.95578,1.23788,0.86027,0.63376,0.10583,0.25497,3.17728,400.2534,427.4875,419.608,3.63,2.31,0.27,1.02,0.03
"Croatia","Central and Eastern Europe",5.759,0.04394,1.08254,0.79624,0.78805,0.25883,0.0243,0.05444,2.75414,464.0401,486.8632,475.3912,9.89,4.5,3.68,1.34,0.36
"Cyprus","Western Europe",5.689,0.0558,1.20813,0.89318,0.92356,0.40672,0.06146,0.30638,1.88931,437.1443,442.8443,432.5964,9.55,2.84,2.71,4,0
"Czech Republic","Central and Eastern Europe",6.505,0.04168,1.17898,1.20643,0.84483,0.46364,0.02652,0.10686,2.67782,492.3254,487.2501,492.83,12.82,6.9,2.67,3.25,0
"Denmark","Western Europe",7.527,0.03328,1.32548,1.36058,0.87464,0.64938,0.48357,0.34139,2.49204,511.0876,499.8146,501.9369,9.38,3.49,4.21,1.68,0
"Dominican Republic","Latin America and Caribbean",4.885,0.07446,0.89537,1.17202,0.66825,0.57672,0.14234,0.21684,1.21305,327.702,357.7377,331.6388,6.14,3.49,0.24,2.34,0.07
"Estonia","Central and Eastern Europe",5.429,0.04013,1.15174,1.22791,0.77361,0.44888,0.15184,0.0868,1.58782,519.5291,519.1429,534.1937,16.64,5.44,1.23,8.37,1.6
"Finland","Western Europe",7.406,0.0314,1.29025,1.31826,0.88911,0.64169,0.41372,0.23351,2.61955,511.0769,526.4247,530.6612,8.51,4.13,1.75,1.84,0.79
"France","Western Europe",6.575,0.03512,1.27778,1.26038,0.94579,0.55011,0.20646,0.12332,2.21126,492.9204,499.3061,494.9776,11.87,2.16,7.09,2.42,0.2
"Georgia","Central and Eastern Europe",4.297,0.04221,0.7419,0.38562,0.72926,0.40577,0.38331,0.05547,1.59541,403.8332,401.2881,411.1315,7.44,1.37,3.1,2.97,0.01
"Germany","Western Europe",6.75,0.01848,1.32792,1.29937,0.89186,0.61477,0.21843,0.28214,2.11569,505.9713,509.1041,509.1406,11.99,5.66,3.84,2.49,0
"Greece","Western Europe",4.857,0.05062,1.15406,0.92933,0.88213,0.07699,0.01397,0,1.80101,453.6299,467.0395,454.8288,6.64,2.04,3.08,1.44,0.08
"Hungary","Central and Eastern Europe",4.8,0.06107,1.12094,1.20215,0.75905,0.32112,0.02758,0.128,1.24074,476.8309,469.5233,476.7475,10.9,3.93,3.41,3.57,
"Iceland","Western Europe",7.561,0.04884,1.30232,1.40223,0.94784,0.62877,0.14145,0.4363,2.70201,488.0332,481.5255,473.2301,7.66,4.26,2.15,1.25,
"Indonesia","Southeastern Asia",5.399,0.02596,0.82827,1.08708,0.63793,0.46611,0,0.51535,1.86399,386.1096,397.2595,403.0997,0.28,0.05,0.22,0.01,0
"Ireland","Western Europe",6.94,0.03676,1.33596,1.36948,0.89533,0.61777,0.28703,0.45901,1.9757,503.722,520.8148,502.5751,10.93,5.14,3.06,1.97,0.77
"Israel","Middle East and Northern Africa",7.278,0.0347,1.22857,1.22393,0.91387,0.41319,0.07785,0.33172,3.08854,469.6695,478.9606,466.5528,2.61,1.41,0.11,1.05,0.04
"Italy","Western Europe",5.948,0.03914,1.25114,1.19777,0.95446,0.26236,0.02901,0.22823,2.02518,489.7287,484.758,480.5468,7.14,1.78,4.61,0.74,0
